131.27 163.89 1 2
114.88 162.96 0 2
163.1 141.04 2 1
131.36 144.94 1 1
113.59 140.28 0 1
131.7 152.64 1 2
134.63 142.47 1 1
190.96 134.48 3 1
137.31 129.44 1 1
183.48 159.91 3 2
169.19 114.56 2 0
127.99 143.81 1 1
130.28 153.67 1 2
135.76 106.41 1 0
189.58 154.79 3 2
187.12 138.54 3 1
113.34 142.47 0 1
173.39 111.65 2 0
143.89 134.88 1 1
129.56 187.42 1 3
104.44 174.98 0 2
155.73 182.33 2 3
114.67 136.18 0 1
186.49 187.31 3 3
189.03 184.81 3 3
114.05 144.17 0 1
161.76 149.21 2 1
132.72 161.23 1 2
135.07 107.01 1 0
113.55 162.76 0 2
152.2 165.82 2 2
166.9 164.92 2 2
140.63 161.83 1 2
159.29 116.26 2 0
104.6 154.05 0 2
137.04 109.08 1 0
160.32 111.39 2 0
112 156.1 0 2
189.3 109.09 3 0
185.15 159.33 3 2
164.93 116.01 2 0
196.5 157.75 3 2
106.66 180.49 0 3
136.02 135.29 1 1
187.7 140.97 3 1
159.87 149.53 2 1
195.97 117 3 0
168.16 108.49 2 0
141.48 162.93 1 2
115.5 171.07 0 2
141.26 140.05 1 1
118.75 131.21 0 1
157.25 116.19 2 0
191.44 140.85 3 1
143.2 139.64 1 1
140.22 137.64 1 1
187.66 168.52 3 2
138.71 138.09 1 1
167.5 157.33 2 2
194.48 116.88 3 0
170.91 187.38 2 3
134.78 130.35 1 1
132.55 157.89 1 2
162.66 192.75 2 3
196.6 141.86 3 1
183.15 157.02 3 2
187.58 138.95 3 1
134.47 184.53 1 3
142.65 118.18 1 0
138.48 188.25 1 3
132.52 158.7 1 2
107.44 182.18 0 3
135.24 138.26 1 1
194.6 137.81 3 1
105.49 185.63 0 3
161.27 132.71 2 1
138.54 162.78 1 2
138.47 114.54 1 0
110.28 116.47 0 0
161.99 138.76 2 1
184.75 140.23 3 1
167.34 116.02 2 0
117.26 128.48 0 1
142.14 183.33 1 3
144.73 184.32 1 3
108.19 131.82 0 1
114.5 130.74 0 1
132.68 169.33 1 2
183.59 182.42 3 3
138.15 115.02 1 0
186.16 113.83 3 0
104.66 188.91 0 3
141.48 107.25 1 0
118.28 141.44 0 1
137.45 157.79 1 2
137.13 196.21 1 3
184.23 135.61 3 1
106.24 167.48 0 2
140.56 114.45 1 0
164.76 187.54 2 3
162.29 137.55 2 1
116.73 117.17 0 0
187.56 163.05 3 2
195.4 134.15 3 1
177.98 115.85 3 0
139.6 163.25 1 2
161.97 136.44 2 1
187.11 108.69 3 0
170.16 143.76 2 1
114.97 141.72 0 1
159.6 183.07 2 3
133.2 167.08 1 2
115.28 157.71 0 2
181.66 192.65 3 3
163.85 145.71 2 1
139.23 137.51 1 1
115.96 119 0 0
189.49 172.33 3 2
133.27 191.12 1 3
190.41 134.82 3 1
126.18 187.03 1 3
186.91 114.81 3 0
194.08 187.88 3 3
166.05 110.88 2 0
189.73 190.86 3 3
160.27 160.2 2 2
177.72 185.74 3 3
138.56 138.52 1 1
184.07 188.77 3 3
155.06 161.26 2 2
131.91 157.22 1 2
185.17 115.19 3 0
164.45 114.95 2 0
114.15 115.31 0 0
128.73 186.39 1 3
166.86 102.17 2 0
132.52 141.78 1 1
113.46 115.78 0 0
152.37 135.43 2 1
116.95 182.36 0 3
107.49 163.47 0 2
140.11 185.13 1 3
165.08 173.31 2 2
116.98 135.59 0 1
181.68 121.73 3 0
110.74 110.13 0 0
165.08 196.25 2 3
112.22 131.87 0 1
173.67 193.35 2 3
137.65 136.79 1 1
182.08 173.76 3 2
189.01 158.37 3 2
165.74 160.45 2 2
179.93 133.93 3 1
191.68 188.01 3 3
160 145.4 2 1
113.22 134.34 0 1
105.42 150.11 0 2
183.81 187.65 3 3
187.61 160.38 3 2
181.93 144.59 3 1
137.78 110.1 1 0
157.53 191.68 2 3
110.82 125.23 0 0
140.61 108.78 1 0
110.43 141.87 0 1
152.89 107.11 2 0
169.08 189.39 2 3
136.8 194.23 1 3
107.53 137.64 0 1
187.63 110.26 3 0
111.64 136.11 0 1
113.1 107.65 0 0
138 172.36 1 2
194.75 143.47 3 1
129.04 156.25 1 2
189.93 179.46 3 3
187.03 135.66 3 1
146.61 113.29 1 0
156.23 189.26 2 3
158.14 113.83 2 0
134.01 139.98 1 1
112.27 188.93 0 3
133.27 107.82 1 0
144.99 160.16 1 2
158.94 118.51 2 0
186.73 183.19 3 3
162.25 159.16 2 2
164.98 154.01 2 1
133.46 116.02 1 0
143.52 195.5 1 3
112.57 163.99 0 2
191.64 139.65 3 1
172.88 173.96 2 2
138.39 154.18 1 2
141.43 162.93 1 2
105.26 138.15 0 1
166.13 126.14 2 1
182.33 129.18 3 1
133.26 186.1 1 3
